"Group","YEAR","HAUL_COUNT","CATCH_COUNT","roundBiomass","roundCV"
"Spiny Dogfish",1982,329,0,0,0
"Spiny Dogfish",1983,353,2,381,0.83
"Spiny Dogfish",1984,355,0,0,0
"Spiny Dogfish",1985,353,1,46,1
"Spiny Dogfish",1986,354,0,0,0
"Spiny Dogfish",1987,343,3,213,0.6
"Spiny Dogfish",1988,353,1,247,1
"Spiny Dogfish",1989,354,0,0,0
"Spiny Dogfish",1990,351,0,0,0
"Spiny Dogfish",1991,352,0,0,0
"Spiny Dogfish",1992,336,0,0,0
"Spiny Dogfish",1993,355,0,0,0
"Spiny Dogfish",1994,355,0,0,0
"Spiny Dogfish",1995,356,0,0,0
"Spiny Dogfish",1996,355,0,0,0
"Spiny Dogfish",1997,356,1,36,1
"Spiny Dogfish",1998,355,1,255,1
"Spiny Dogfish",1999,353,0,0,0
"Spiny Dogfish",2000,352,0,0,0
"Spiny Dogfish",2001,355,0,0,0
"Spiny Dogfish",2002,355,0,0,0
"Spiny Dogfish",2003,356,0,0,0
"Spiny Dogfish",2004,355,1,27,1
"Spiny Dogfish",2005,353,0,0,0
"Spiny Dogfish",2006,356,0,0,0
"Spiny Dogfish",2007,356,0,0,0
"Spiny Dogfish",2008,355,0,0,0
"Spiny Dogfish",2009,356,1,70,1
"Spiny Dogfish",2010,356,1,87,1
"Spiny Dogfish",2011,356,0,0,0
"Spiny Dogfish",2012,356,0,0,0
"Spiny Dogfish",2013,356,0,0,0
"Spiny Dogfish",2014,356,0,0,0
"Spiny Dogfish",2015,356,1,91,1
"Spiny Dogfish",2016,356,0,0,0
"Spiny Dogfish",2017,356,0,0,0
"Spiny Dogfish",2018,356,0,0,0
"Spiny Dogfish",2019,356,0,0,0
"Spiny Dogfish",2021,356,0,0,0
"Spiny Dogfish",2022,356,2,159,0.76
"Pacific Sleeper Shark",1982,329,0,0,0
"Pacific Sleeper Shark",1983,353,0,0,0
"Pacific Sleeper Shark",1984,355,0,0,0
